Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
ERR024789	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	warn	1031912.0	pass	fail	fail	50.0	90.4628177324	ERR024789.fastq	warn	pass
ERR024791	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	warn	1655128.0	pass	fail	warn	50.0	87.194531806	ERR024791.fastq	pass	pass
ERR024795	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	warn	2458299.0	pass	fail	warn	51.0	85.8246919378	ERR024795.fastq	pass	pass
ERR024796	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	warn	4560755.0	pass	warn	warn	50.0	71.3631389563	ERR024796.fastq	pass	pass
ERR024797	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	warn	3320930.0	pass	fail	warn	50.0	83.2747617848	ERR024797.fastq	pass	pass
ERR024798	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	warn	4535015.0	pass	fail	warn	50.0	74.8214319317	ERR024798.fastq	pass	pass
ERR024800	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	pass	1328209.0	pass	fail	warn	50.0	91.9119253505	ERR024800.fastq	pass	pass
ERR024801	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	warn	5830762.0	pass	warn	warn	50.0	73.6066810431	ERR024801.fastq	pass	pass
ERR025164	warn	0.0	warn	160.0	Sanger / Illumina 1.9	fail	fail	pass	160.0	Conventional base calls	pass	fail	1639549.0	pass	fail	fail	50.0	56.1284523193	ERR025164.fastq	fail	pass
ERR034065	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	989393.0	pass	fail	pass	52.0	94.7350110668	ERR034065.fastq	pass	pass
ERR034066	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	1148039.0	pass	fail	pass	51.0	90.6770029508	ERR034066.fastq	pass	pass
ERR034068	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	847098.0	pass	fail	pass	51.0	94.5626945812	ERR034068.fastq	pass	pass
ERR034069	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	1144144.0	pass	fail	pass	52.0	93.6792642924	ERR034069.fastq	pass	pass
ERR034070	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	2450936.0	pass	fail	pass	52.0	87.6864203605	ERR034070.fastq	pass	pass
ERR034071	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	1524027.0	pass	fail	pass	51.0	87.2111952307	ERR034071.fastq	pass	pass
ERR034072	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	1381307.0	pass	fail	pass	52.0	90.9125704843	ERR034072.fastq	pass	pass
ERR034074	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	2045991.0	pass	fail	pass	52.0	89.7855332032	ERR034074.fastq	pass	pass
ERR034075	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	1088315.0	pass	fail	pass	51.0	93.8438481463	ERR034075.fastq	pass	pass
ERR034079	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	warn	2572619.0	pass	fail	warn	50.0	88.2710985175	ERR034079.fastq	fail	pass
ERR034080	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	1177977.0	pass	fail	warn	53.0	92.5783597649	ERR034080.fastq	fail	pass
ERR034081	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	1756180.0	pass	fail	warn	51.0	88.705405328	ERR034081.fastq	fail	pass
ERR034085	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	2239825.0	pass	fail	warn	52.0	88.391926403	ERR034085.fastq	fail	pass
ERR034086	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	1362410.0	pass	fail	warn	52.0	90.386640143	ERR034086.fastq	fail	pass
ERR034088	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	1728241.0	pass	fail	warn	51.0	90.5322711098	ERR034088.fastq	fail	pass
ERR034160	pass	0.0	pass	108.0	Sanger / Illumina 1.9	fail	fail	pass	108.0	Conventional base calls	pass	pass	12414035.0	pass	pass	warn	53.0	75.7872224757	ERR034160.fastq	warn	warn
ERR034161	pass	0.0	warn	108.0	Sanger / Illumina 1.9	fail	fail	pass	108.0	Conventional base calls	pass	pass	14414153.0	pass	warn	warn	52.0	62.5559671653	ERR034161.fastq	warn	warn
ERR034162	pass	0.0	warn	108.0	Sanger / Illumina 1.9	fail	fail	pass	108.0	Conventional base calls	pass	pass	11516058.0	pass	pass	pass	54.0	63.7672203989	ERR034162.fastq	pass	warn
ERR034163	pass	0.0	warn	108.0	Sanger / Illumina 1.9	fail	fail	pass	108.0	Conventional base calls	pass	pass	17886745.0	pass	warn	pass	51.0	56.3716976271	ERR034163.fastq	pass	warn
ERR034164	pass	0.0	warn	108.0	Sanger / Illumina 1.9	fail	fail	pass	108.0	Conventional base calls	pass	pass	17937811.0	pass	pass	pass	53.0	55.5489137964	ERR034164.fastq	fail	warn
ERR034165	pass	0.0	warn	108.0	Sanger / Illumina 1.9	fail	fail	pass	108.0	Conventional base calls	pass	pass	15826381.0	pass	pass	pass	55.0	53.1449007503	ERR034165.fastq	fail	warn
ERR034168	pass	0.0	warn	108.0	Sanger / Illumina 1.9	fail	pass	pass	108.0	Conventional base calls	pass	warn	8230806.0	pass	pass	pass	52.0	65.6085101297	ERR034168.fastq	pass	pass
ERR037585	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	470578.0	pass	fail	pass	52.0	96.8317066356	ERR037585.fastq	fail	pass
ERR037587	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	2742971.0	pass	fail	warn	53.0	85.8219606998	ERR037587.fastq	fail	pass
ERR037588	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	1233186.0	pass	fail	pass	51.0	92.0031410497	ERR037588.fastq	fail	pass
ERR037589	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	666963.0	pass	fail	warn	52.0	93.1483842837	ERR037589.fastq	fail	pass
ERR037590	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	1584110.0	pass	fail	pass	52.0	92.3604166178	ERR037590.fastq	fail	pass
ERR037592	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	1768373.0	pass	fail	warn	52.0	91.2622308388	ERR037592.fastq	fail	pass
ERR037593	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	595407.0	pass	fail	warn	52.0	96.3802348149	ERR037593.fastq	fail	pass
ERR037594	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	632476.0	pass	fail	warn	52.0	95.4016148665	ERR037594.fastq	fail	pass
ERR037595	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	1156028.0	pass	fail	warn	51.0	92.8910470857	ERR037595.fastq	fail	pass
ERR038033	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	1089576.0	pass	fail	warn	52.0	94.1537696895	ERR038033.fastq	fail	pass
ERR038034	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	1070224.0	pass	fail	warn	51.0	94.3037922623	ERR038034.fastq	fail	pass
ERR038035	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	warn	1680821.0	pass	fail	warn	52.0	91.2770100413	ERR038035.fastq	fail	pass
ERR038036	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	warn	1096109.0	pass	fail	fail	52.0	92.30164129	ERR038036.fastq	fail	pass
ERR038037	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	1574733.0	pass	fail	warn	52.0	91.8522523873	ERR038037.fastq	fail	pass
ERR038038	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	warn	888995.0	pass	fail	warn	51.0	93.1851400431	ERR038038.fastq	fail	pass
