Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
ERR235274	5.44737104344	51.0	200.0	1806610.0	0.0
ERR235276	9.28517973834	51.0	200.0	3155855.0	0.0
ERR235279	6.84604206003	51.0	200.0	2199109.0	0.0
ERR235281	6.03225559242	51.0	200.0	2230119.0	9.09090909091
ERR235282	5.79429548818	51.0	200.0	1774779.0	9.09090909091
ERR235283	5.89860458263	51.0	200.0	1997722.0	0.0
ERR235285	6.19442287559	51.0	200.0	1918697.0	9.09090909091
ERR235286	8.82491555861	51.0	200.0	2873966.0	9.09090909091
ERR235287	6.42989067037	51.0	200.0	1989921.0	0.0
ERR235288	5.42080884417	51.0	200.0	1767570.0	0.0
ERR235289	6.58872063155	52.0	200.0	2340047.0	9.09090909091
ERR235363	5.29372205299	51.0	200.0	1539209.0	0.0
ERR235364	6.24634981898	51.0	200.0	1964635.0	9.09090909091
ERR235365	5.04041072126	51.0	200.0	1515654.0	0.0
ERR235366	3.42197071738	51.0	200.0	928168.0	0.0
ERR235367	5.6363087029	51.0	200.0	1624513.0	0.0
ERR235368	3.36812085377	51.0	200.0	979382.0	0.0
ERR235372	3.35438431998	51.0	200.0	872584.0	0.0
ERR235373	5.30418319786	51.0	200.0	1529215.0	0.0
ERR235374	5.51960605491	51.0	200.0	1564510.0	0.0
ERR235375	4.20237712791	51.0	200.0	1128633.0	0.0
ERR235377	6.30002444689	51.0	200.0	1892011.0	0.0
ERR235378	4.63187196627	51.0	200.0	1300666.0	0.0
ERR235379	4.0719094118	51.0	200.0	1186972.0	9.09090909091
ERR235381	5.83055891776	51.0	200.0	1407181.0	0.0
ERR235382	2.54941373867	51.0	200.0	673909.0	0.0
ERR279186	6.8984823482	52.0	200.0	2470775.0	9.09090909091
SRR1645171	25.3984504079	51.0	197.395534875	1243683.0	0.0
SRR1645388	28.0789891937	51.0	197.660782577	1570223.0	0.0
SRR1645545	21.9214069334	51.0	193.185524601	1158089.0	9.09090909091
SRR1645768	44.2361608586	51.0	197.011854942	3828277.0	0.0
SRR1646227	32.8337853262	51.0	196.939718788	1793378.0	0.0
SRR1646230	29.8100726225	51.0	196.781892247	1690403.0	9.09090909091
SRR1646238	24.864648193	51.0	197.446135775	1270203.0	9.09090909091
SRR1958036	25.9637088878	51.0	197.941738327	1629785.0	18.1818181818
SRR1958303	30.425941658	52.0	198.272426316	1650193.0	0.0
SRR1960363	24.7883976728	52.0	197.66407241	1478137.0	0.0
SRR1965263	19.2209928876	51.0	193.851380845	1034584.0	18.1818181818
SRR1965387	23.9497139779	51.0	194.827335071	1131272.0	18.1818181818
SRR1965662	21.4096046757	51.0	185.540255204	1114949.0	0.0
SRR1966023	34.6395602779	51.0	195.475948334	2544751.0	18.1818181818
SRR1966068	31.5492647647	51.0	189.669421415	2047616.0	0.0
SRR1966408	33.2189887554	51.0	189.387553929	2018870.0	18.1818181818
SRR1966418	26.4646741301	51.0	191.10163985	1374943.0	0.0
SRR1966509	23.6028443492	50.0	190.456800492	1119191.0	0.0
SRR1966593	29.3698423512	50.0	194.663175297	1973151.0	0.0
SRR1966635	25.0265287274	51.0	196.252655675	1483521.0	9.09090909091
SRR1966656	25.2850928973	53.0	193.333054668	1277520.0	18.1818181818
SRR1967248	28.8101942177	52.0	188.856301917	1635074.0	9.09090909091
SRR1967419	26.1933782401	51.0	182.239125669	1213270.0	0.0
SRR1967438	30.4888755464	51.0	195.380544874	1925179.0	9.09090909091
SRR1967447	33.3569696741	52.0	197.56023667	2104200.0	0.0
SRR1967883	25.9819553747	51.0	189.561829992	1737013.0	9.09090909091
SRR1967938	27.7930948904	51.0	197.199802964	1514442.0	0.0
SRR1968052	19.4319562404	52.0	195.689020138	850293.0	18.1818181818
SRR1968061	31.7311385434	51.0	196.761551312	2119651.0	0.0
SRR1968084	31.639363445	50.0	197.025701565	1722113.0	18.1818181818
SRR1968221	33.542538608	51.0	196.840027195	2051880.0	9.09090909091
SRR1968269	31.3569077944	51.0	197.286916981	1847280.0	0.0
SRR1968363	24.5402333342	50.0	193.178347728	1387060.0	9.09090909091
SRR1968962	33.1778626277	51.0	195.583857158	2349388.0	9.09090909091
SRR1969492	31.7343357219	51.0	197.235903555	1912468.0	9.09090909091
SRR1969775	24.0606061961	50.0	186.076786079	1131403.0	9.09090909091
SRR1969854	29.0466445926	51.0	190.581886284	1605336.0	0.0
SRR1969857	28.631350968	51.0	195.832235314	1735246.0	0.0
SRR1970264	27.4185821882	51.0	185.622356393	1590015.0	0.0
SRR3048536	24.0395292925	51.0	186.655089145	1078354.0	9.09090909091
SRR3048892	10.9574768632	50.0	189.539612603	761235.0	0.0
SRR3284779	34.0679428689	51.0	200.0	2399420.0	0.0
SRR3285401	30.8253904845	51.0	200.0	1829464.0	18.1818181818
SRR3285477	33.0390175217	51.0	200.0	2080251.0	9.09090909091
SRR3286620	31.8874490489	51.0	200.0	1667336.0	18.1818181818
SRR3322345	28.1251595865	52.0	200.0	1390268.0	18.1818181818
SRR3322379	29.6672478712	52.0	200.0	1640589.0	0.0
SRR3323011	28.8758329385	51.0	200.0	1741705.0	9.09090909091
SRR3323046	27.4013307869	51.0	200.0	1302564.0	9.09090909091
SRR5193685	29.0319012414	51.0	200.0	1581659.0	18.1818181818
